"label","episode","n_unseen","n_learned","competitor_survival","n_runs"
"Choice set 100 (freq.)",78000,61,303.857142857143,0.835797275202528,7
"Choice set 100 (freq.)",78500,55.2857142857143,327.428571428571,0.821786344234995,7
"Choice set 100 (freq.)",79000,58,251,0.774179610131988,6
"Choice set 100 (freq.)",79500,50.3333333333333,288.5,0.76349591479176,6
"Choice set 100 (freq.)",80000,43.6666666666667,347,0.711798982168921,6
"Choice set 100 (freq.)",80500,38.8333333333333,408.666666666667,0.693154928737942,6
"Choice set 100 (freq.)",81000,34.6666666666667,467.833333333333,0.698393893818578,6
"Choice set 100 (freq.)",81500,30.8333333333333,528.333333333333,0.712056783087604,6
"Choice set 100 (freq.)",82000,27,599.333333333333,0.699444904796842,6
"Choice set 100 (freq.)",82500,23.8333333333333,656.833333333333,0.735973670533554,6
"Choice set 100 (freq.)",83000,22.3333333333333,719,0.746366521561253,6
"Choice set 100 (freq.)",83500,23.8,723.8,0.755575900347547,5
"Choice set 100 (freq.)",84000,21.6,776.6,0.804535102486651,5
"Choice set 100 (uniform)",500,757.8,0,0.6726432599055,10
"Choice set 100 (uniform)",1000,622.7,0,0.76572932146371,10
"Choice set 100 (uniform)",1500,522.4,0,0.790077406368701,10
"Choice set 100 (uniform)",2000,445,0,0.7954149861827,10
"Choice set 100 (uniform)",2500,382.2,0.2,0.803870786616229,10
"Choice set 100 (uniform)",3000,326.9,0.5,0.80405099334652,10
"Choice set 100 (uniform)",3500,284.3,0.7,0.809964775548855,10
"Choice set 100 (uniform)",4000,246.6,0.8,0.816886597094716,10
"Choice set 100 (uniform)",4500,217.3,1,0.817979014339816,10
"Choice set 100 (uniform)",5000,187,1.6,0.816784327429758,10
"Choice set 100 (uniform)",5500,163.9,2.4,0.816904129430732,10
"Choice set 100 (uniform)",6000,143.3,3.7,0.821289220554015,10
"Choice set 100 (uniform)",6500,124.7,6.2,0.815764413973823,10
"Choice set 100 (uniform)",7000,108,10.7,0.79620527880615,10
"Choice set 100 (uniform)",7500,93.1,18.7,0.78183275281788,10
"Choice set 100 (uniform)",8000,80.4,29,0.770071194552051,10
"Choice set 100 (uniform)",8500,66.8,44.1,0.750445255759442,10
"Choice set 100 (uniform)",9000,52.8,62.5,0.723958293502503,10
"Choice set 100 (uniform)",9500,43.1,88.4,0.69290763282421,10
"Choice set 100 (uniform)",10000,34.3,126.2,0.658894328914556,10
"Choice set 100 (uniform)",10500,25.3,175.4,0.617092002243812,10
"Choice set 100 (uniform)",11000,18.6,243.7,0.573808785809967,10
"Choice set 100 (uniform)",11500,13.3,323.6,0.552418408398714,10
"Choice set 100 (uniform)",12000,8.4,421.8,0.519962495487841,10
"Choice set 100 (uniform)",12500,3.9,553.8,0.475003715154093,10
"Choice set 100 (uniform)",13000,1.7,708.3,0.458255189501268,10
"Choice set 100 (uniform)",13500,0.5,855.3,0.524096342447674,10
"Choice set 100 (uniform)",14000,0,951.6,0.724589235352737,10
"Choice set 100 (uniform)",14500,0,981.111111111111,0.913472573870288,9
"Choice set 100 (uniform)",15000,0,987.142857142857,0.980077883616809,7
"Goldilocks",500,753.6,0,0.582504958843929,10
