"dec1","dec2","dec3","dec4","dec5","dec6","dec7","dec8","dec9","episodes","censored","model","C","M","a","active","uniform","fam_context","cell_elapsed_secs","sweep","active_prob","active_policy","choice_k_label"
1502,3164,4857,6900,8531,10701,13053,15354,18077,20922,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1633,3363,4848,6840,8640,10699,12840,15008,17918,20903,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1482,3366,5104,6960,8860,11078,13135,15410,18098,20562,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1431,3330,5182,7012,9174,11228,12970,15113,18036,20478,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1640,3339,4943,6556,8469,10443,12625,15348,18205,21623,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1602,3090,4680,6507,8372,10333,12423,15121,17692,20528,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1508,3110,4581,6174,7887,9812,12022,14222,16788,19723,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1417,3207,4917,6545,8294,10126,12843,14888,17714,20338,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1672,3432,5185,6778,8482,10461,12701,15378,18152,21039,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1776,3452,5056,7000,8876,10595,12768,14953,18175,21515,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1729,3270,4906,6369,8164,10240,12346,14758,18079,21159,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1566,3156,4749,6798,8434,10519,13114,15436,18378,21531,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1744,3190,4964,6783,8852,10827,12919,14879,18124,21069,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1756,3701,5346,6886,8382,10171,12510,14902,17664,20364,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1767,3476,5101,6913,8730,10782,13221,15876,18569,21655,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1797,3254,4792,6691,8586,10396,12673,15262,17978,20474,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1723,3476,5011,6818,8601,10423,12585,15341,17846,20886,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1622,3304,5005,7078,9105,11069,13078,15405,18163,20941,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1880,3469,5251,7009,9051,10763,13249,15704,18139,21013,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1569,3123,4807,6751,8361,10454,12927,15356,17951,20970,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1635,3139,4976,6983,9121,11102,13174,15592,19105,21910,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1519,3086,4708,6639,8576,10466,12430,14541,17345,21050,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1542,3040,4624,6264,8446,10537,12380,14872,17524,20189,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1676,3275,4976,6948,8479,10595,12954,15245,17891,21088,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1671,3123,4972,6688,8665,10681,13092,15385,17850,21134,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1655,3240,5068,6771,8367,10189,12361,14433,17028,20162,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1454,3077,4821,6390,8332,10461,12695,14988,18136,20953,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1488,3476,5234,7220,8817,10740,12665,15032,17136,19932,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1466,3202,4665,6466,8407,10502,12888,15439,18871,22305,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1448,3011,4752,6493,8427,10201,12650,15198,17610,19755,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1713,3464,4979,6601,8891,10884,12930,15456,18207,21862,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1610,3245,4925,6614,8571,10599,12743,15219,17919,20505,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1596,3128,4748,6755,8803,11186,13812,16333,19319,22758,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1400,3333,5000,6617,8348,10395,12682,15124,17405,20520,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1594,3299,4947,6419,8381,10420,12725,15081,17836,21450,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1899,3325,5168,6841,8983,11017,13292,15735,18291,21485,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1635,3369,4953,6546,8657,10845,13053,15200,18011,20620,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1651,3519,4838,6865,8247,10332,12084,14724,17900,21080,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1523,3397,4829,6728,8400,10547,12824,15399,17692,20626,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1607,3334,5067,6781,8637,11068,13501,15987,18893,22023,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1670,3232,5076,6713,8556,10339,12477,15320,18320,21012,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1554,3254,5069,6882,8585,10671,12745,15214,17932,21299,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1635,3235,5051,6934,9081,11306,13415,16110,19260,22027,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1844,3327,4981,6673,8559,10939,13088,15411,18740,22012,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1604,3225,5361,6794,8553,10901,13609,15957,19087,21984,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1642,3170,4517,6017,7914,9867,12107,14335,17143,20255,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1617,3354,4834,7029,9017,11275,13237,15612,18363,21541,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1715,3398,4742,6577,8257,10075,12866,15703,18805,21718,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1475,3000,4779,6449,8361,10265,12555,15059,17478,20843,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1781,3481,4973,6629,8440,10543,12724,15025,17780,20751,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1608,3076,5008,6524,8189,10666,12540,14887,18125,21621,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1878,3293,4941,6663,8692,10693,12889,15427,18680,21798,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1692,3597,5244,6947,8962,11003,12984,15748,18585,21255,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1528,3191,4940,6602,8526,10665,12665,15462,18380,21309,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1534,3258,4983,7037,9052,10968,13158,15878,18654,21800,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1635,3342,5001,6653,8624,10779,13084,15596,18881,21823,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1721,3204,4704,6329,8216,10029,12243,14782,17022,19414,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1763,3349,5058,6908,8713,10621,12485,15238,17832,20645,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1659,3086,4892,6856,8797,10725,12925,15060,17566,20572,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1503,3104,4607,6515,8388,10432,12708,15211,17662,20281,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1628,2999,4944,6655,8525,10045,12194,14929,17890,20784,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1566,3327,5233,6939,8814,10886,13159,15367,18549,21589,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1642,3723,5346,6905,8719,10884,13302,15587,18282,21054,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1597,2969,4781,6794,8533,10674,12496,14944,18263,21100,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1617,3260,4856,6568,8343,10147,12164,14603,17226,20993,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1718,3241,4829,6677,8403,10576,12499,15082,17808,21077,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1744,3388,5126,6711,8591,10387,12881,15156,17766,21233,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1309,2937,5010,6673,8630,10392,12567,15152,18176,21476,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1670,3107,4875,6708,8657,10392,12465,15237,18005,20593,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
