scene,rater1,rater2,rater3,rater4,rater5,mean,variance,,,,,
hotel_breakfast_area         ,5,3,3,4,3,3.6,0.8,,,,,
lawn                         ,5,3,3,4,3,3.6,0.8,,,,,
oceanfront                   ,5,3,3,4,3,3.6,0.8,,,,,
recreation_room              ,5,3,4,3,3,3.6,0.8,,,,,
restroom/indoor              ,5,3,3,4,3,3.6,0.8,,,,,
restroom/outdoor             ,5,3,3,4,3,3.6,0.8,,,,,
tennis_court/indoor          ,4,4,4,2,4,3.6,0.8,,,,,
tennis_court/outdoor         ,4,4,4,2,4,3.6,0.8,,,,,
tent/indoor                  ,5,3,4,3,3,3.6,0.8,,,,,
tent/outdoor                 ,5,3,4,3,3,3.6,0.8,,,,,
art_gallery                  ,5,4,2,3,4,3.6,1.3,,,,,
badminton_court/indoor       ,5,4,3,2,4,3.6,1.3,,,,,
kitchen                      ,5,4,3,2,4,3.6,1.3,,,,,
kitchenette                  ,5,4,3,2,4,3.6,1.3,,,,,
trailer_park                 ,5,4,3,2,4,3.6,1.3,,,,,
bathroom                     ,5,3,3,5,2,3.6,1.8,,,,,
game_room                    ,5,2,5,4,2,3.6,2.3,,,,,
labyrinth/indoor             ,4,5,3,1,5,3.6,2.8,,,,,
labyrinth/outdoor            ,4,5,3,1,5,3.6,2.8,,,,,
bay                          ,4,3,3,4,3,3.4,0.3,,,,,
bridge                       ,3,4,3,3,4,3.4,0.3,,,,,
clothing_store               ,4,3,3,4,3,3.4,0.3,,,,,
dentists_office              ,4,3,3,4,3,3.4,0.3,,,,,
department_store             ,4,3,3,4,3,3.4,0.3,,,,,
diner/indoor                 ,3,4,3,3,4,3.4,0.3,,,,,
diner/outdoor                ,3,4,3,3,4,3.4,0.3,,,,,
downtown                     ,3,4,3,3,4,3.4,0.3,,,,,
kraal                        ,3,4,3,3,4,3.4,0.3,,,,,
parade_ground                ,4,3,3,4,3,3.4,0.3,,,,,
pedestrian_overpass/indoor   ,4,3,3,4,3,3.4,0.3,,,,,
pedestrian_overpass/outdoor  ,4,3,3,4,3,3.4,0.3,,,,,
pier                         ,4,3,3,4,3,3.4,0.3,,,,,
roof_garden                  ,3,4,3,3,4,3.4,0.3,,,,,
safari_park                  ,3,4,3,3,4,3.4,0.3,,,,,
salad_bar                    ,4,3,3,4,3,3.4,0.3,,,,,
shopfront                    ,4,3,3,3,4,3.4,0.3,,,,,
subway_interior              ,3,4,3,3,4,3.4,0.3,,,,,
subway_station/platform      ,3,4,3,3,4,3.4,0.3,,,,,
supermarket                  ,4,3,3,4,3,3.4,0.3,,,,,
balcony/interior             ,3,3,3,3,5,3.4,0.8,,,,,
boathouse                    ,4,4,3,2,4,3.4,0.8,,,,,
bus_shelter                  ,4,4,3,2,4,3.4,0.8,,,,,
bus_station/indoor           ,4,4,3,2,4,3.4,0.8,,,,,
bus_station/outdoor          ,4,4,3,2,4,3.4,0.8,,,,,
castle                       ,4,4,2,3,4,3.4,0.8,,,,,
cathedral/indoor             ,4,4,2,3,4,3.4,0.8,,,,,
cathedral/outdoor            ,4,4,2,3,4,3.4,0.8,,,,,
dinette/vehicle              ,2,4,3,4,4,3.4,0.8,,,,,
flea_market/indoor           ,4,4,3,2,4,3.4,0.8,,,,,
flea_market/outdoor          ,4,4,3,2,4,3.4,0.8,,,,,
